id,regime,step,timestamp,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
leo-6350,leo,0,2026-02-04T14:47:28.097756Z,-270.95496875,-6798.9685,766.90675,4.848391164986653,-0.8682701920507389,-5.879956305542391
leo-6350,leo,1,2026-02-04T14:49:10.1385732607421875Z,222.3429375,-6843.406,165.8488125,4.820247708994315,-0.002704799975239439,-5.900779161601754
leo-6350,leo,2,2026-02-04T14:50:52.179390521484375Z,712.7690625,-6799.5205,-437.33390625,4.761113786901547,0.8598325206798508,-5.883397000619963
leo-6350,leo,3,2026-02-04T14:52:34.2201925234375Z,1193.99875,-6667.93,-1034.844375,4.6406322613195785,1.7107760583714116,-5.790018050980569
leo-6350,leo,4,2026-02-04T14:54:16.26102504296875Z,1659.836875,-6450.3825,-1618.97025,4.460462577835333,2.539153148531976,-5.621957955382098
leo-6350,leo,5,2026-02-04T14:55:58.301827044921875Z,2104.29725,-6149.7355,-2182.18275,4.2230343553331915,3.3342887680703206,-5.38150538046035
leo-6350,leo,6,2026-02-04T14:57:40.342629046875Z,2521.6805,-5769.9155,-2717.2365,3.9315052115139952,4.08598980380311,-5.071880979900261
leo-6350,leo,7,2026-02-04T14:59:22.38346156640625Z,2906.64525,-5315.86,-3217.2605,3.5897186053425068,4.784633640719759,-4.697180904597755
leo-6350,leo,8,2026-02-04T15:01:04.4242940859375Z,3254.27625,-4793.4595,-3675.845,3.20215316684581,5.421295439687001,-4.262341498603036
leo-6350,leo,9,2026-02-04T15:02:46.46512660546875Z,3560.146,-4209.473,-4087.12625,2.773846155603822,5.987890423987963,-3.7730591756452485
leo-6350,leo,10,2026-02-04T15:04:28.50589808984375Z,3820.36725,-3571.44125,-4445.857,2.310333317783243,6.47724829997762,-3.235711946623389
leo-6350,leo,11,2026-02-04T15:06:10.546730609375Z,4031.6425,-2887.58575,-4747.4755,1.8175693538646338,6.883198899782372,-2.657282444438617
leo-6350,leo,12,2026-02-04T15:07:52.58750209375Z,4191.29975,-2166.707,-4988.1595,1.301871307753787,7.20064669458575,-2.0452527004148395
leo-6350,leo,13,2026-02-04T15:09:34.6283956484375Z,4297.3305,-1418.06575,-5164.874,0.7698495807296749,7.425621546768968,-1.4075072386921057
leo-6350,leo,14,2026-02-04T15:11:16.6691671328125Z,4348.412,-651.2738125,-5275.406,0.2283255894844915,7.555323528837723,-0.7522066266121
leo-6350,leo,15,2026-02-04T15:12:58.7100606875Z,4343.9275,123.837265625,-5318.3855,-0.31574892504555463,7.5881724738591885,-0.08768018710150499
